waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,Score,Sentiment
sebulan lalu,"Tukang parkirnya bapak² bertato nggak banget attitutude-nya, helm saya jatoh dan rusak.. pas pulang gak dibantu keluarin motor mungkin karena takut habis rusakin helm saya, padahal bpknya bantuin keluarin motor yg lain disaat bersamaan saya …",Tukang parkirnya bapak bertato nggak banget attitutudenya helm saya jatoh dan rusak pas pulang gak dibantu keluarin motor mungkin karena takut habis rusakin helm saya padahal bpknya bantuin keluarin motor yg lain disaat bersamaan saya ,tukang parkirnya bapak bertato nggak banget attitutudenya helm saya jatoh dan rusak pas pulang gak dibantu keluarin motor mungkin karena takut habis rusakin helm saya padahal bpknya bantuin keluarin motor yg lain disaat bersamaan saya ,tukang parkirnya bapak bertato tidak banget attitutudenya helm saya jatuh dan rusak pas pulang tidak dibantu keluarkan motor mungkin karena takut habis rusakin helm saya padahal bapaknya bantuin keluarkan motor yang lain disaat bersamaan saya,"['tukang', 'parkirnya', 'bapak', 'bertato', 'tidak', 'banget', 'attitutudenya', 'helm', 'saya', 'jatuh', 'dan', 'rusak', 'pas', 'pulang', 'tidak', 'dibantu', 'keluarkan', 'motor', 'mungkin', 'karena', 'takut', 'habis', 'rusakin', 'helm', 'saya', 'padahal', 'bapaknya', 'bantuin', 'keluarkan', 'motor', 'yang', 'lain', 'disaat', 'bersamaan', 'saya']","['tukang', 'parkirnya', 'bertato', 'banget', 'attitutudenya', 'helm', 'jatuh', 'rusak', 'pas', 'pulang', 'dibantu', 'keluarkan', 'motor', 'takut', 'habis', 'rusakin', 'helm', 'bapaknya', 'bantuin', 'keluarkan', 'motor', 'disaat', 'bersamaan']",tukang parkir tato banget attitutudenya helm jatuh rusak pas pulang bantu keluar motor takut habis rusakin helm bapak bantuin keluar motor saat sama,13,Positif
5 bulan lalu,"The place is comfortable for jogging in the morning with the fresh & cool air.
There are still lots of big trees, there are lots of beringin trees.  Still beautiful and lots of birds. …","The place is comfortable for jogging in the morning with the fresh  cool air
There are still lots of big trees there are lots of beringin trees  Still beautiful and lots of birds ","the place is comfortable for jogging in the morning with the fresh  cool air
there are still lots of big trees there are lots of beringin trees  still beautiful and lots of birds ",the place is comfortable for jogging ini the morning with the fresh cool air there are still lots of big trees there are lots of beringin trees still beautiful and lots of birds,"['the', 'place', 'is', 'comfortable', 'for', 'jogging', 'ini', 'the', 'morning', 'with', 'the', 'fresh', 'cool', 'air', 'there', 'are', 'still', 'lots', 'of', 'big', 'trees', 'there', 'are', 'lots', 'of', 'beringin', 'trees', 'still', 'beautiful', 'and', 'lots', 'of', 'birds']","['the', 'place', 'is', 'comfortable', 'for', 'jogging', 'the', 'morning', 'with', 'the', 'fresh', 'cool', 'air', 'there', 'are', 'still', 'lots', 'of', 'big', 'trees', 'there', 'are', 'lots', 'of', 'beringin', 'trees', 'still', 'beautiful', 'and', 'lots', 'of', 'birds']",the place is comfortable for jogging the morning with the fresh cool air there are still lots of big trees there are lots of beringin trees still beautiful and lots of birds,-1,Negatif
6 bulan lalu,"Bersih, sejuk, nyaman, pemeliharaan  lingkungan sekitar baik. Nyaman untuk berolahraga dan berekreasi. Sayang gym outdoor dan mini playgroundnya sudah pd rusak. Tingkatkan terus perawatan sarprasnya",Bersih sejuk nyaman pemeliharaan  lingkungan sekitar baik Nyaman untuk berolahraga dan berekreasi Sayang gym outdoor dan mini playgroundnya sudah pd rusak Tingkatkan terus perawatan sarprasnya,bersih sejuk nyaman pemeliharaan  lingkungan sekitar baik nyaman untuk berolahraga dan berekreasi sayang gym outdoor dan mini playgroundnya sudah pd rusak tingkatkan terus perawatan sarprasnya,bersih sejuk nyaman pemeliharaan lingkungan sekitar baik nyaman untuk berolahraga dan berekreasi sayang gym outdoor dan mini playgroundnya sudah pada rusak tingkatkan terus perawatan sarprasnya,"['bersih', 'sejuk', 'nyaman', 'pemeliharaan', 'lingkungan', 'sekitar', 'baik', 'nyaman', 'untuk', 'berolahraga', 'dan', 'berekreasi', 'sayang', 'gym', 'outdoor', 'dan', 'mini', 'playgroundnya', 'sudah', 'pada', 'rusak', 'tingkatkan', 'terus', 'perawatan', 'sarprasnya']","['bersih', 'sejuk', 'nyaman', 'pemeliharaan', 'lingkungan', 'nyaman', 'berolahraga', 'berekreasi', 'sayang', 'gym', 'outdoor', 'mini', 'playgroundnya', 'rusak', 'tingkatkan', 'perawatan', 'sarprasnya']",bersih sejuk nyaman pelihara lingkung nyaman olahraga rekreasi sayang gym outdoor mini playgroundnya rusak tingkat awat sarprasnya,26,Positif
3 minggu lalu,"View gunung yg gagah keliatan epic di sini 😍
Walaupun pas kesini cm beberapa hari karena lagi honeymoon tp ngangenin …","View gunung yg gagah keliatan epic di sini 
Walaupun pas kesini cm beberapa hari karena lagi honeymoon tp ngangenin ","view gunung yg gagah keliatan epic di sini 
walaupun pas kesini cm beberapa hari karena lagi honeymoon tp ngangenin ",view gunung yang gagah kelihatan epic di sini walaupun pas kesini cuma beberapa hari karena lagi honeymoon tapi ngangenin,"['view', 'gunung', 'yang', 'gagah', 'kelihatan', 'epic', 'di', 'sini', 'walaupun', 'pas', 'kesini', 'cuma', 'beberapa', 'hari', 'karena', 'lagi', 'honeymoon', 'tapi', 'ngangenin']","['view', 'gunung', 'gagah', 'epic', 'pas', 'kesini', 'honeymoon', 'ngangenin']",view gunung gagah epic pas kesini honeymoon ngangenin,8,Positif
3 bulan lalu,"Jangan bilang pernah ke Wonosobo kalau belum sempetin mampir ke Alun-alunnya. Fasilitas rekreasional yang asri dengan masyarakatnya yang ramah. Sangat cocok untuk berolahraga jogging, cari makan, atau sekedar jalan-jalan buat lepasin …",Jangan bilang pernah ke Wonosobo kalau belum sempetin mampir ke Alunalunnya Fasilitas rekreasional yang asri dengan masyarakatnya yang ramah Sangat cocok untuk berolahraga jogging cari makan atau sekedar jalanjalan buat lepasin ,jangan bilang pernah ke wonosobo kalau belum sempetin mampir ke alunalunnya fasilitas rekreasional yang asri dengan masyarakatnya yang ramah sangat cocok untuk berolahraga jogging cari makan atau sekedar jalanjalan buat lepasin ,jangan bilang pernah ke wonosobo kalau belum sempetin mampir ke alunalunnya fasilitas rekreasional yang asri dengan masyarakatnya yang ramah sangat cocok untuk berolahraga jogging cari makan atau sekedar berjalan buat melepas,"['jangan', 'bilang', 'pernah', 'ke', 'wonosobo', 'kalau', 'belum', 'sempetin', 'mampir', 'ke', 'alunalunnya', 'fasilitas', 'rekreasional', 'yang', 'asri', 'dengan', 'masyarakatnya', 'yang', 'ramah', 'sangat', 'cocok', 'untuk', 'berolahraga', 'jogging', 'cari', 'makan', 'atau', 'sekedar', 'berjalan', 'buat', 'melepas']","['bilang', 'wonosobo', 'sempetin', 'mampir', 'alunalunnya', 'fasilitas', 'rekreasional', 'asri', 'masyarakatnya', 'ramah', 'cocok', 'berolahraga', 'jogging', 'cari', 'makan', 'sekedar', 'berjalan', 'melepas']",bilang wonosobo sempetin mampir alunalunnya fasilitas rekreasional asri masyarakat ramah cocok olahraga jogging cari makan dar jalan lepas,13,Positif
4 bulan lalu,"Alun-Alun Wonosobo adlh tempat yg menyediakan bbrpa fasilitas, siapa si yang blm pernah kesini🤔
Yaps, terdapat lapangan khusus upacara, lapangan volly, lapangan basket, dan …","AlunAlun Wonosobo adlh tempat yg menyediakan bbrpa fasilitas siapa si yang blm pernah kesini
Yaps terdapat lapangan khusus upacara lapangan volly lapangan basket dan ","alunalun wonosobo adlh tempat yg menyediakan bbrpa fasilitas siapa si yang blm pernah kesini
yaps terdapat lapangan khusus upacara lapangan volly lapangan basket dan ",alunalun wonosobo adalah tempat yang menyediakan beberapa fasilitas siapa sih yang belum pernah kesini yaps terdapat lapangan khusus upacara lapangan voli lapangan basket dan,"['alunalun', 'wonosobo', 'adalah', 'tempat', 'yang', 'menyediakan', 'beberapa', 'fasilitas', 'siapa', 'sih', 'yang', 'belum', 'pernah', 'kesini', 'yaps', 'terdapat', 'lapangan', 'khusus', 'upacara', 'lapangan', 'voli', 'lapangan', 'basket', 'dan']","['alunalun', 'wonosobo', 'menyediakan', 'fasilitas', 'sih', 'kesini', 'yaps', 'lapangan', 'khusus', 'upacara', 'lapangan', 'voli', 'lapangan', 'basket']",alunalun wonosobo sedia fasilitas sih kesini yaps lapang khusus upacara lapang voli lapang basket,13,Positif
5 hari lalu,"Datang lagi kesini.pas ada event 1 muharom . Ramai sekali tapi tetap kondusif.
Banyak jajanan yang di jajakan 👍 …","Datang lagi kesinipas ada event  muharom  Ramai sekali tapi tetap kondusif
Banyak jajanan yang di jajakan  ","datang lagi kesinipas ada event  muharom  ramai sekali tapi tetap kondusif
banyak jajanan yang di jajakan  ",datang lagi kesinipas ada acara muharom ramai sekali tapi tetap kondusif banyak jajanan yang di jajakan,"['datang', 'lagi', 'kesinipas', 'ada', 'acara', 'muharom', 'ramai', 'sekali', 'tapi', 'tetap', 'kondusif', 'banyak', 'jajanan', 'yang', 'di', 'jajakan']","['kesinipas', 'acara', 'muharom', 'ramai', 'kondusif', 'jajanan', 'jajakan']",kesinipas acara muharom ramai kondusif jajan jaja,3,Positif
2 bulan lalu,Hampir setiap tahun setelah lebaran Idul Fitri biasanya h+6 di alun alun Wonosobo ada festival balon,Hampir setiap tahun setelah lebaran Idul Fitri biasanya h di alun alun Wonosobo ada festival balon,hampir setiap tahun setelah lebaran idul fitri biasanya h di alun alun wonosobo ada festival balon,hampir setiap tahun setelah lebaran idul fitri biasanya h di alun alun wonosobo ada festival balon,"['hampir', 'setiap', 'tahun', 'setelah', 'lebaran', 'idul', 'fitri', 'biasanya', 'h', 'di', 'alun', 'alun', 'wonosobo', 'ada', 'festival', 'balon']","['lebaran', 'idul', 'fitri', 'h', 'alun', 'alun', 'wonosobo', 'festival', 'balon']",lebaran idul fitri h alun alun wonosobo festival balon,0,Netral
2 bulan lalu,"Parkir Motor Gratisss 💯💯
Tempat nyaman, dan cukup bersih. Alangkah baiknya ada perawatan rumput alun2nya yg lebih sering. Agar lebih bersih dan lebih rapi dan lebih indah …","Parkir Motor Gratisss 
Tempat nyaman dan cukup bersih Alangkah baiknya ada perawatan rumput alunnya yg lebih sering Agar lebih bersih dan lebih rapi dan lebih indah ","parkir motor gratisss 
tempat nyaman dan cukup bersih alangkah baiknya ada perawatan rumput alunnya yg lebih sering agar lebih bersih dan lebih rapi dan lebih indah ",parkir motor gratis tempat nyaman dan cukup bersih alangkah baiknya ada perawatan rumput alunnya yang lebih sering agar lebih bersih dan lebih rapi dan lebih indah,"['parkir', 'motor', 'gratis', 'tempat', 'nyaman', 'dan', 'cukup', 'bersih', 'alangkah', 'baiknya', 'ada', 'perawatan', 'rumput', 'alunnya', 'yang', 'lebih', 'sering', 'agar', 'lebih', 'bersih', 'dan', 'lebih', 'rapi', 'dan', 'lebih', 'indah']","['parkir', 'motor', 'gratis', 'nyaman', 'bersih', 'alangkah', 'baiknya', 'perawatan', 'rumput', 'alunnya', 'bersih', 'rapi', 'indah']",parkir motor gratis nyaman bersih alangkah baik awat rumput alun bersih rapi indah,36,Positif
6 bulan lalu,Tempatnya hiburan rakyat yang menyenangkan .tambah lagi sama kulineran .view sangat bagus kalau lagi cerah  kelihatan gunung ini sangat indah di pandang mata,Tempatnya hiburan rakyat yang menyenangkan tambah lagi sama kulineran view sangat bagus kalau lagi cerah  kelihatan gunung ini sangat indah di pandang mata,tempatnya hiburan rakyat yang menyenangkan tambah lagi sama kulineran view sangat bagus kalau lagi cerah  kelihatan gunung ini sangat indah di pandang mata,tempatnya hiburan rakyat yang menyenangkan tambah lagi sama kulineran view sangat bagus kalau lagi cerah kelihatan gunung ini sangat indah di pandang mata,"['tempatnya', 'hiburan', 'rakyat', 'yang', 'menyenangkan', 'tambah', 'lagi', 'sama', 'kulineran', 'view', 'sangat', 'bagus', 'kalau', 'lagi', 'cerah', 'kelihatan', 'gunung', 'ini', 'sangat', 'indah', 'di', 'pandang', 'mata']","['tempatnya', 'hiburan', 'rakyat', 'menyenangkan', 'kulineran', 'view', 'bagus', 'cerah', 'gunung', 'indah', 'pandang', 'mata']",tempat hibur rakyat senang kuliner view bagus cerah gunung indah pandang mata,6,Positif
5 bulan lalu,"Alun-alun kebanggaan warga Wonosobo
Icon nya kota Wonosobo, tempat berkumpulnya warga Bersama keluarga, teman-teman, kerabat, hangout, berolahraga dan bermain bercengkrama …","Alunalun kebanggaan warga Wonosobo
Icon nya kota Wonosobo tempat berkumpulnya warga Bersama keluarga temanteman kerabat hangout berolahraga dan bermain bercengkrama ","alunalun kebanggaan warga wonosobo
icon nya kota wonosobo tempat berkumpulnya warga bersama keluarga temanteman kerabat hangout berolahraga dan bermain bercengkrama ",alunalun kebanggaan warga wonosobo ikon ya kota wonosobo tempat berkumpulnya warga bersama keluarga temanteman kerabat hangout berolahraga dan bermain bercengkrama,"['alunalun', 'kebanggaan', 'warga', 'wonosobo', 'ikon', 'ya', 'kota', 'wonosobo', 'tempat', 'berkumpulnya', 'warga', 'bersama', 'keluarga', 'temanteman', 'kerabat', 'hangout', 'berolahraga', 'dan', 'bermain', 'bercengkrama']","['alunalun', 'kebanggaan', 'warga', 'wonosobo', 'ikon', 'ya', 'kota', 'wonosobo', 'berkumpulnya', 'warga', 'keluarga', 'temanteman', 'kerabat', 'hangout', 'berolahraga', 'bermain', 'bercengkrama']",alunalun bangga warga wonosobo ikon ya kota wonosobo kumpul warga keluarga temanteman kerabat hangout olahraga main bercengkrama,12,Positif
